Date Time	CPU	Memory	DiskInput	DiskOutput	NetIn	NetOut
2014-09-26 17:13:45	1.0	20.3	0	906854	268	12
2014-09-26 17:18:56	12.2	22.1	675020	487014	1327	2718
2014-09-26 17:24:07	0.8	21.1	85708	13926	377	1290
2014-09-26 17:29:18	2.1	22.2	3276	879001	1470	360
2014-09-26 17:34:29	1.1	21.4	0	169676	268	96
2014-09-26 17:39:40	1.0	21.0	0	16793	273	114
2014-09-26 17:44:51	0.6	21.0	0	5734	257	48
2014-09-26 17:50:02	4.0	20.6	0	18841	400	39
2014-09-26 17:55:13	0.3	20.6	0	14745	257	0
2014-09-26 18:00:24	5.9	21.1	0	33587	532	17431
2014-09-26 18:05:35	10.2	21.5	0	43417	1218	57638
2014-09-26 18:10:46	9.5	21.7	75468	135577	23227	21240
2014-09-26 18:15:57	1.2	22.5	0	17408	1016	1061
2014-09-26 18:21:08	4.0	21.8	0	8192	769	27343
2014-09-26 18:26:19	7.9	22.1	0	13209	783	57302
2014-09-26 18:31:30	8.3	25.9	111411	1084928	2137	32540
2014-09-26 18:36:41	5.7	27.7	0	66048	4288	9965
2014-09-26 18:41:53	4.7	25.4	6553	234086	11376	123948
2014-09-26 18:47:04	5.4	25.1	0	18841	328	12
2014-09-26 18:52:15	4.2	25.2	0	18022	824	53886
2014-09-26 18:57:26	1.3	25.0	0	21196	337	0
2014-09-26 19:02:37	1.1	25.1	0	8704	845	243
2014-09-26 19:07:48	8.0	25.2	0	48332	1626	145340
2014-09-26 19:12:59	2.6	25.2	6553	42803	4370	91861
2014-09-26 19:18:10	2.2	26.5	3276	295731	780	26590
2014-09-26 19:23:21	4.8	25.6	661913	547737	1570	23697
2014-09-26 19:28:32	6.9	26.7	0	675020	576	167
2014-09-26 19:33:43	7.7	19.8	945561	153190	-91696	-234064
2014-09-26 19:38:54	0.8	18.9	0	10649	80	0
2014-09-26 19:44:05	3.3	18.7	419430	1067929	345	8
2014-09-26 19:49:16	1.5	22.4	0	26931	333	48
2014-09-26 19:54:27	5.1	18.7	419430	17715	393	484
2014-09-26 19:59:38	4.6	18.7	419430	10649	257	0
2014-09-26 20:04:49	6.1	18.8	419430	7475	456	118
2014-09-26 20:10:00	5.5	18.8	419430	43110	593	192
2014-09-26 20:15:11	3.5	18.8	0	5734	8	8
2014-09-26 20:20:22	4.8	18.8	419430	19763	405	56
2014-09-26 20:25:33	4.3	18.8	421068	35020	327	0
2014-09-26 20:30:44	3.7	18.7	419430	36044	345	8
2014-09-26 20:35:55	4.1	18.7	0	3276	309	0
2014-09-26 20:41:06	6.0	18.7	419430	13107	257	0
2014-09-26 20:46:17	5.5	18.7	419430	14745	257	0
2014-09-26 20:51:28	1.0	18.7	0	4915	0	0
2014-09-26 20:56:39	1.0	18.5	0	716	257	24
2014-09-26 21:01:50	1.2	18.6	0	13619	257	24
2014-09-26 21:07:01	1.0	18.5	0	13926	380	8
2014-09-26 21:12:12	0.6	19.6	0	6553	501	1435
2014-09-26 21:17:23	5.7	19.6	438272	5734	257	24
2014-09-26 21:22:34	8.2	23.7	117964	942080	5393	174307
2014-09-26 21:27:46	8.2	29.6	158924	1380454	14632	556154
2014-09-26 21:32:57	8.4	26.3	231833	473088	29564	516501
2014-09-26 21:38:08	6.3	18.6	0	32768	268	0
2014-09-26 21:43:19	1.9	18.5	8406323	197427	3332	2968
2014-09-26 21:48:30	0.4	19.2	14745	26419	293	88
2014-09-26 21:53:41	5.9	23.6	18841	451379	19202	208068
2014-09-26 21:58:52	6.1	26.4	32051	58572	788	303
2014-09-26 22:04:03	3.1	30.1	22937	305971	11424	93474
2014-09-26 22:09:14	1.7	28.1	0	84684	287	90
2014-09-26 22:14:25	3.7	27.2	0	14336	478	576
2014-09-26 22:19:36	6.8	22.2	178073	336588	2439	1509
2014-09-26 22:24:47	1.0	19.4	0	43417	1103	470
2014-09-26 22:29:58	1.4	19.4	0	19148	268	21
2014-09-26 22:35:09	2.3	21.8	36352	74752	1814	159
2014-09-26 22:40:20	1.0	19.1	0	21401	0	24
2014-09-26 22:45:31	3.7	19.3	734412	3305164	233181	10135867
2014-09-26 22:50:42	2.3	19.0	0	7168	1068853	46230
2014-09-26 22:55:53	2.6	18.7	0	40755	252505	9480
2014-09-26 23:01:04	1.4	18.8	0	30924	451419	23657
2014-09-26 23:06:15	1.6	18.6	0	10649	411	74
2014-09-27 20:07:07	1.6	17.2	6553	99123	23403	241756
2014-09-27 20:12:18	1.4	20.9	0	8704	516	581
2014-09-27 20:17:29	1.0	20.7	0	355532	317	1789
2014-09-27 20:22:40	1.0	21.1	3276	61235	619	357
2014-09-27 20:27:51	13.3	17.2	864563	228352	257	24
2014-09-27 20:33:02	24.8	20.6	6553	251392	11834	381746
2014-09-27 20:38:14	12.5	22.1	181862	938393	32254	750330
2014-09-27 20:43:25	4.0	23.5	0	604057	1033	3055
2014-09-27 20:48:36	11.2	29.2	52428	1237401	17548	637680
2014-09-27 20:53:47	4.7	46.9	135168	3036467	349	36
2014-09-27 20:58:58	5.9	58.7	411238	1770803	14340	488700
2014-09-27 21:04:09	4.2	43.1	117145	1342771	268	27
2014-09-27 21:09:20	22.7	22.9	384000	1763020	29693	1086147
2014-09-27 21:14:31	6.1	23.9	15564	1021235	35963	502478
2014-09-27 21:19:42	11.1	24.9	111411	1429196	31348	984990
2014-09-27 21:24:53	12.5	25.7	159744	1575321	35657	943616
2014-09-27 21:30:04	3.8	27.6	0	588083	343	96
2014-09-27 21:35:15	1.9	29.2	0	458342	30054	351919
2014-09-27 21:40:26	11.9	36.4	13107	798003	24591	319057
2014-09-27 21:45:37	9.9	36.2	8192	842240	2518	40392
2014-09-27 21:50:48	5.2	26.0	5734	261017	1939	25374
2014-09-27 21:55:59	0.8	17.2	0	4198	363	149
2014-09-27 22:01:10	2.4	17.1	0	2457	331	74
2014-09-27 22:06:21	2.4	22.0	6553	192307	1993	28007
2014-09-27 22:11:32	1.8	26.2	3276	108339	2094	8714
2014-09-27 22:16:43	0.9	20.4	14745	68403	1450	1089
2014-09-27 22:21:54	14.2	18.0	855244	236134	353	86
2014-09-27 22:27:05	3.1	21.6	6553	172339	1870	3817
2014-09-27 22:32:16	9.7	21.0	0	339660	2373	4290
2014-09-27 22:37:27	7.7	22.4	3276	1217331	19007	756440
2014-09-27 22:42:38	2.5	23.4	444006	813363	9397	126602
2014-09-27 22:47:49	1.9	23.3	13107	379494	8258	38236
2014-09-27 22:53:00	3.0	23.5	58982	493875	4714	87887
2014-09-27 22:58:11	9.3	25.7	78643	961433	677	744
2014-09-27 23:03:22	5.3	30.6	131174	302080	364	138
2014-09-27 23:08:33	24.2	37.6	100761	1951948	34406	662485
2014-09-27 23:13:44	1.2	31.4	53248	889036	45458	516724
2014-09-27 23:18:55	13.0	33.7	94208	503091	1508	2566
2014-09-27 23:24:07	9.7	35.2	128614	1983692	12318	226642
2014-09-27 23:29:18	11.4	31.0	0	1583206	33168	1345519
2014-09-27 23:34:29	3.2	24.2	0	146124	4782	11054
2014-09-27 23:39:40	1.1	17.6	0	18841	129	44
2014-09-27 23:44:51	1.9	20.2	13107	90316	406	216
2014-09-27 23:50:02	1.7	20.8	0	921	5861	46151
2014-09-27 23:55:13	2.5	21.7	6553	123084	1187	372
